105 3993 63.1902
115 2449 49.4874
125 1384 37.2022
135 853 29.2062
145 515 22.6936
155 328 18.1108
165 247 15.7162
175 135 11.619
190 202 14.2127
220 156 12.49
270 45 6.7082
