0.1 1.28463 0.0210274
0.3 1.00932 0.0206378
0.5 0.936141 0.0221571
0.7 0.887182 0.0214747
0.9 0.84948 0.0214499
1.1 0.884546 0.0222441
1.3 0.808726 0.02059
1.5 0.774064 0.0199349
1.7 0.789963 0.0201025
1.9 0.753671 0.0194543
2.1 0.694252 0.0189194
2.3 0.703331 0.0195393
2.5 0.730435 0.0210975
2.7 0.701791 0.0215171
2.9 0.721305 0.0237703
3.1 0.742313 0.0269679
3.3 0.774952 0.0313804
3.5 0.781185 0.0349915
3.7 0.933478 0.0489672
3.9 0.98094 0.0587242
4.1 1.17194 0.0822493
4.3 1.21977 0.0986697
4.5 1.25989 0.119951
4.7 1.50678 0.193241
4.9 1.11227 0.208837
5.1 1.95972 0.591488
5.3 2.68396 1.73249
5.5 2.68396 2.45011
