0.0523599 0.270603 0.0403392 0.114274 0.0238277
0.15708 0.198443 0.0345444 0.134147 0.0258166
0.261799 0.186416 0.0334813 0.228547 0.0336974
0.366519 0.300671 0.0425212 0.273263 0.0368468
0.471239 0.192429 0.034017 0.144084 0.0267557
0.575959 0.0962146 0.0240536 0.0943999 0.0216568
0.680678 0.0902012 0.0232898 0.059621 0.0172111
0.785398 0.138308 0.0288393 0.0943999 0.0216568
0.890118 0.0841878 0.0225001 0.0695578 0.0185901
0.994838 0.0902012 0.0232898 0.0894315 0.0210792
1.09956 0.0902012 0.0232898 0.0844631 0.0204853
1.20428 0.0902012 0.0232898 0.0496842 0.0157115
1.309 0.120268 0.0268928 0.0844631 0.0204853
1.41372 0.0541207 0.0180402 0.0645894 0.0179139
1.51844 0.102228 0.0247939 0.0943999 0.0216568
1.62316 0.0902012 0.0232898 0.059621 0.0172111
1.72788 0.108241 0.0255127 0.109305 0.0233039
1.8326 0.108241 0.0255127 0.0695578 0.0185901
1.93732 0.132295 0.0282054 0.104337 0.0227681
2.04204 0.108241 0.0255127 0.0745262 0.0192426
2.14675 0.216483 0.0360805 0.173895 0.0293935
2.25147 0.198443 0.0345444 0.203705 0.0318134
2.35619 0.216483 0.0360805 0.322947 0.0400567
2.46091 0.28263 0.0412259 0.367663 0.0427399
2.56563 0.402899 0.0492219 0.432252 0.0463423
2.67035 0.475059 0.0534484 0.675705 0.0579412
2.77507 0.589314 0.0595297 0.884378 0.0662869
2.87979 0.914038 0.0741383 1.14274 0.0753498
2.98451 1.36504 0.0906012 1.42594 0.0841703
3.08923 2.23699 0.115982 1.82341 0.0951812
