0.1 1.33525 0.0230338
0.3 0.985376 0.0217133
0.5 0.888092 0.0226234
0.7 0.883961 0.0234068
0.9 0.857183 0.0233265
1.1 0.841208 0.0231699
1.3 0.792529 0.0218187
1.5 0.727441 0.0204499
1.7 0.758406 0.0211251
1.9 0.72904 0.0207493
2.1 0.730938 0.0212494
2.3 0.698936 0.0210651
2.5 0.674589 0.0214039
2.7 0.687397 0.0230574
2.9 0.671799 0.0245473
3.1 0.677155 0.0270907
3.3 0.788628 0.0343981
3.5 0.73013 0.0366312
3.7 0.780987 0.0452459
3.9 0.93715 0.0628017
4.1 0.945073 0.0753163
4.3 1.12112 0.101548
4.5 1.10559 0.117194
4.7 1.45347 0.195717
4.9 1.57226 0.305874
5.1 0.838541 0.327759
5.3 10.0625 7.86621
5.5 2.23611 3.16234
