-0.7 0.820466 0.444471
-0.5 0.818434 0.181447
-0.3 0.870727 0.0955062
-0.1 0.764043 0.046016
0.1 0.807568 0.0125746
0.3 1.0421 0.017587
0.5 1.09347 0.0191662
0.7 1.03996 0.0198403
0.9 0.953352 0.0196411
1.1 0.857694 0.0188019
1.3 0.801655 0.0185856
1.5 0.772807 0.0182483
1.7 0.70513 0.0178961
1.9 0.679444 0.0178135
2.1 0.660553 0.0181627
2.3 0.661551 0.0192968
2.5 0.634442 0.0202117
2.7 0.629568 0.0217708
2.9 0.627832 0.0245942
3.1 0.661127 0.0282486
3.3 0.674607 0.033513
3.5 0.649368 0.0368005
3.7 0.75679 0.0483162
3.9 0.805225 0.0602965
4.1 0.951273 0.086788
4.3 0.787657 0.0887746
4.5 1.05822 0.151771
4.7 1.02409 0.202342
4.9 0.799641 0.214906
5.1 1.51446 0.502587
5.3 1.25301 0.643313
5.5 1.02028 0.936303
5.7 0.763183 0.950211
