0.1 -0.00497661 0.159425 -0.0385826 0.178331 -0.0353803 0.518716 -0.432028 1.27344 -30.8125 5.77097 -0.0037875 0.08356 -31.4563 6.3919 -8.81271 6.61908 -31.3169 3.95328
0.3 -0.00891811 0.234854 0.00448493 0.318825 -0.379096 0.300765 -0.375526 0.304761 -0.500878 0.420207 0.0227846 0.170834 -1.2519 0.576399 -2.20629 0.631761 -32.4451 3.89304
0.5 0.0833143 0.228307 0.0558498 0.264379 -0.00896871 0.290244 0.0442306 0.204784 0.454608 0.378987 0.0278104 0.103707 0.578952 0.68629 -2.50454 0.720918 -31.7372 3.72542
0.7 -0.0980699 0.324092 -0.0737098 0.443818 0.0992006 0.238448 0.139802 0.204621 0.151006 0.352365 0.0144755 0.161755 0.24826 1.06412 -2.37721 1.09306 -31.488 4.48315
0.9 0.0325019 0.280244 0.193576 0.254528 0.0870369 0.392949 0.249743 0.155056 0.801342 0.552699 -0.00107699 0.152529 1.29522 0.507625 -1.1072 0.525294 -30.1923 4.51436
1.1 -0.0372869 0.228826 -0.0850764 0.306568 0.149524 0.328292 0.205618 0.200916 0.726841 0.415098 -0.00992281 0.271734 0.857755 0.67217 -1.12527 0.684643 -29.1037 4.53298
1.3 -0.112753 0.329693 0.0180059 0.416362 0.0389524 0.276014 0.0389994 0.11536 0.176519 0.160782 -0.0243244 0.189026 0.0549354 0.690258 -1.664 0.709745 -29.0608 4.14402
1.5 -0.0348152 0.241831 0.0968766 0.353519 0.00495101 0.300398 -0.0155722 0.0808652 0.0348038 0.0947053 -0.0273786 0.165295 0.0296579 0.6208 -1.52989 0.640066 -28.9207 4.38394
1.7 0.121136 0.238149 -0.0833925 0.380374 -0.0173769 0.335556 0.0715526 0.110308 0.134508 0.136227 -0.0798772 0.241469 0.230546 0.570581 -1.17661 0.586263 -28.7609 4.5855
1.9 -0.134008 0.443087 -0.0828054 0.67466 0.283199 0.465222 0.211279 0.172961 0.690158 0.493081 -0.166661 0.36772 0.587441 1.33249 -3.32967 1.36741 -27.8914 4.33661
