0.1 0.313668 0.0672242 0.385535 0.193221 -0.258518 0.399495 -0.88491 0.994902 -7.28815 4.29757 0.0871175 0.0611959 -7.91699 4.62854
0.3 0.910985 0.255127 1.10346 0.313095 -0.220384 0.255343 -0.517445 0.342331 -0.0755734 0.590577 0.314592 0.140997 1.00969 0.844643
0.5 1.28488 0.332947 1.24984 0.318577 0.0825272 0.278176 -0.310417 0.184162 -0.168117 0.178891 0.420544 0.145801 2.11429 0.744107
0.7 1.37286 0.258816 1.13582 0.391923 -0.0162315 0.245122 -0.341987 0.17464 -0.623008 0.248634 0.61151 0.130608 1.51616 0.528952
0.9 1.31254 0.301459 1.16068 0.38921 0.129707 0.17362 -0.250404 0.128428 0.100596 0.300489 0.490935 0.123918 2.42222 0.705945
1.1 0.915846 0.383551 0.559164 0.494962 -0.103598 0.121744 -0.191057 0.145447 0.0720608 0.285699 0.426422 0.0922733 1.34984 0.8584
1.3 0.723215 0.172934 0.40056 0.232602 -0.081348 0.174608 -0.307389 0.118565 -0.310388 0.217561 0.355647 0.0965703 0.355181 0.445406
1.5 0.28697 0.127823 0.267945 0.203749 -0.168285 0.219916 -0.285948 0.0856857 -0.401112 0.138696 0.321655 0.129429 -0.297166 0.315143
1.7 0.351309 0.213204 0.0160109 0.206487 -0.106191 0.26301 -0.175179 0.0911857 -0.200861 0.186671 0.213867 0.121538 -0.0801335 0.519279
1.9 0.253695 0.277727 0.128482 0.404241 -0.358714 0.387539 -0.51251 0.177988 -0.680742 0.342416 0.209938 0.207956 -1.26313 0.690873
