0.1 0.0560669 0.0595246 0.0972138 0.134974 0.0906818 0.308399 0.715759 0.671602 -27.7077 2.57294 -0.0251204 0.0342305 -26.748 2.68104 -26.748
0.3 -0.0567178 0.0946477 0.0555743 0.153001 0.300542 0.198254 0.242518 0.176087 0.640422 0.356414 0.000311262 0.0526762 1.18234 0.47928 -25.5657
0.5 0.0862995 0.111287 0.297086 0.151418 0.471018 0.156085 0.541803 0.155811 1.48982 0.409196 0.0564117 0.0688803 2.88603 0.501391 -22.6796
0.7 0.0946808 0.121829 0.417989 0.166748 0.30026 0.151923 0.496834 0.137664 0.379472 0.170858 -0.024202 0.0727129 1.68924 0.337448 -20.9904
0.9 0.236626 0.127491 0.0233485 0.168987 0.272698 0.145056 0.39101 0.11437 1.32942 0.346682 0.00304527 0.081957 2.2531 0.446229 -18.7373
1.1 -0.0380259 0.134564 -0.0588362 0.16014 0.440529 0.136931 0.425429 0.14201 0.630737 0.216734 0.0665008 0.0763497 1.39983 0.36006 -17.3375
1.3 0.00348503 0.123019 0.0583639 0.171754 0.0195652 0.137777 0.276238 0.0902309 0.388993 0.191917 0.0231915 0.0751387 0.746645 0.329529 -16.5908
1.5 0.0641504 0.122795 0.127651 0.155284 0.0540428 0.138235 0.144025 0.0605338 0.32577 0.138024 0.0164773 0.0781537 0.71564 0.284633 -15.8752
1.7 0.119598 0.125667 0.257893 0.151745 -0.108719 0.120307 0.229772 0.0773765 0.249185 0.15968 0.0255956 0.0738563 0.747729 0.291165 -15.1275
1.9 0.0322134 0.218385 0.169483 0.287139 0.625614 0.250879 0.414003 0.126045 1.11196 0.332209 0.208034 0.140193 2.35328 0.565094 -12.7742
