0.0523599 -nan -nan -nan -nan
0.15708 -nan -nan -nan -nan
0.261799 -nan -nan -nan -nan
0.366519 -nan -nan -nan -nan
0.471239 -nan -nan -nan -nan
0.575959 -nan -nan -nan -nan
0.680678 -nan -nan -nan -nan
0.785398 -nan -nan -nan -nan
0.890118 -nan -nan -nan -nan
0.994838 -nan -nan -nan -nan
1.09956 -nan -nan -nan -nan
1.20428 -nan -nan -nan -nan
1.309 -nan -nan -nan -nan
1.41372 -nan -nan -nan -nan
1.51844 -nan -nan -nan -nan
1.62316 -nan -nan -nan -nan
1.72788 -nan -nan -nan -nan
1.8326 -nan -nan -nan -nan
1.93732 -nan -nan -nan -nan
2.04204 -nan -nan -nan -nan
2.14675 -nan -nan -nan -nan
2.25147 -nan -nan -nan -nan
2.35619 -nan -nan -nan -nan
2.46091 -nan -nan -nan -nan
2.56563 -nan -nan -nan -nan
2.67035 -nan -nan -nan -nan
2.77507 -nan -nan -nan -nan
2.87979 -nan -nan -nan -nan
2.98451 -nan -nan -nan -nan
3.08923 -nan -nan -nan -nan
